year,municipality_code,municipality,gini_index
1991,110001,Alta Floresta D'Oeste,0.5983
2000,110001,Alta Floresta D'Oeste,0.5868
2010,110001,Alta Floresta D'Oeste,0.5893
1991,110037,Alto Alegre dos Parecis,NA
2000,110037,Alto Alegre dos Parecis,0.508
2010,110037,Alto Alegre dos Parecis,0.5491
1991,110040,Alto Paraíso,NA
2000,110040,Alto Paraíso,0.6256
2010,110040,Alto Paraíso,0.5417
1991,110034,Alvorada D'Oeste,0.569
2000,110034,Alvorada D'Oeste,0.6534
2010,110034,Alvorada D'Oeste,0.5355
1991,110002,Ariquemes,0.5827
2000,110002,Ariquemes,0.5927
2010,110002,Ariquemes,0.5496
1991,110045,Buritis,NA
2000,110045,Buritis,0.6474
2010,110045,Buritis,0.5017
1991,110003,Cabixi,0.6527
2000,110003,Cabixi,0.5806
2010,110003,Cabixi,0.5166
1991,110060,Cacaulândia,NA
2000,110060,Cacaulândia,0.6149
2010,110060,Cacaulândia,0.5579
1991,110004,Cacoal,0.68
2000,110004,Cacoal,0.5615
2010,110004,Cacoal,0.589
1991,110070,Campo Novo de Rondônia,NA
2000,110070,Campo Novo de Rondônia,0.6693
2010,110070,Campo Novo de Rondônia,0.6705
1991,110080,Candeias do Jamari,NA
2000,110080,Candeias do Jamari,0.5279
2010,110080,Candeias do Jamari,0.4762
1991,110090,Castanheiras,NA
2000,110090,Castanheiras,0.6465
2010,110090,Castanheiras,0.4996
1991,110005,Cerejeiras,0.5958
2000,110005,Cerejeiras,0.6935
2010,110005,Cerejeiras,0.5147
1991,110092,Chupinguaia,NA
2000,110092,Chupinguaia,0.5507
2010,110092,Chupinguaia,0.4752
1991,110006,Colorado do Oeste,0.6229
2000,110006,Colorado do Oeste,0.5725
2010,110006,Colorado do Oeste,0.5154
1991,110007,Corumbiara,NA
2000,110007,Corumbiara,0.5496
2010,110007,Corumbiara,0.4852
1991,110008,Costa Marques,0.6495
2000,110008,Costa Marques,0.5992
2010,110008,Costa Marques,0.5239
1991,110094,Cujubim,NA
2000,110094,Cujubim,0.6209
2010,110094,Cujubim,0.525
1991,110009,Espigão D'Oeste,0.6301
2000,110009,Espigão D'Oeste,0.6309
2010,110009,Espigão D'Oeste,0.5399
1991,110100,Governador Jorge Teixeira,NA
2000,110100,Governador Jorge Teixeira,0.5725
2010,110100,Governador Jorge Teixeira,0.5571
1991,110010,Guajará-Mirim,0.6024
2000,110010,Guajará-Mirim,0.6093
2010,110010,Guajará-Mirim,0.5586
1991,110110,Itapuã do Oeste,NA
2000,110110,Itapuã do Oeste,0.6626
2010,110110,Itapuã do Oeste,0.4771
1991,110011,Jaru,0.5654
2000,110011,Jaru,0.5718
